Car_Wash_Names,City,State,Nums_Locations,Website
Mister Car Wash,Tucson,AZ,350,www.mistercarwash.com
Driven Brands Car Wash North America,Charlotte,NC,300,www.drivenbrandscarwash.com
Zips Car Wash,Dallas,TX,235,www.zipscarwash.com
Quick Quack Car Wash,Roseville,CA,160,www.DontDriveDirty.com 
Tommy's Express Car Wash,Holland,MI,100,www.tommys-express.com
Tidal Wave Auto Spa,Thomaston,GA,96,www.tidalwaveautospa.com
GO Car Wash,Denver ,CO,90,www.gocarwash.com
Autobell Car Wash,Charlotte,NC,85,www.autobell.com
Cobblestone Auto Spa & CWON,Baltimore,MD,83,car-won.com I cobblestone.com 
Mammoth Holdings,Atlanta,GA,70,www.mammothholdings.com
WhiteWater Express Car Wash,Houston,TX,67,www.whitewatercw.com
True Blue Car Wash,Tempe,AZ,64,www.truebluecw.com
Club Carwash,Columbia,MO,61,www.clubcarwash.com
Express Wash Concepts,Etna,OH,61,www.expresswashconcepts.com
Golden Nozzle Car Wash,Worcester,MA,49,www.goldennozzlecarwash.com
Magnolia Wash Holdings,Charlotte,NC,47,www.magnoliawashholdings.com
Wash Depot Holdings Inc.,Fort Lauderdale,FL,46,www.cleancarfeeling.com
Splash Car Wash,Greenwich,CT,41,www.splashcarwashes.com
BlueWave Express,San Rafael,CA,40,www.bluewaveexpress.com
Crew Carwash,Indianapolis,IN,40,www.crewcarwash.com
ModWash,Chattanooga,TN,40,www.modwash.com
Super Star Car Wash,Phoenix,AZ,40,www.superstarcarwashaz.com
Raceway Express Car Wash,Phoenix,AZ,36,www.racewaycarwash.com
Sam's Xpress Car Wash,Matthews,NC,36,www.samsxpresscarwash.com
Delta Sonic,Buffalo,NY,32,www.deltasoniccarwash.com
Terrible Herbst,Las Vegas,NV,32,www.terribles.com 
Wash N Roll,Nashville ,TN,32,www.mywashnroll.com
Mike's Carwash,Loveland,OH,31,www.mikescarwash.com
Surf Thru Express Car Wash,Bakersfield,CA,30,www.surfthruexpress.com
WetGo PRO,Pittsburgh,PA,30,www.getgocafe.com/wetgo
Brown Bear Car Wash,Seattle,WA,28,www.brownbear.com
The Wash Tub,San Antonio,TX,28,www.washtub.com
Waterway Carwash,St. Louis,MO,28,www.waterway.com
Fuller's Carwash,Hinsdale,IL,26,www.fullerscarwash.com
Rich's Car Wash,Mobile,AL,26,www.richscarwash.com
Russell Speeder?s Car Wash,Norwalk,CT,24,www.russellspeeders.com
Clean Streak Ventures,Orlando,FL,23,www.clean-streak.com
Soapy Joe's Car Wash,Santee,CA,23,www.soapyjoescarwash.com
Rapid Express Car Wash,Houston,TX,21,www.rapidexpresscarwash.com 
ScrubaDub Auto Wash Centers,Natick,MA,20,www.scrubadub.com
Zax Auto Wash,Wixom,MI,20,www.zaxautowash.com
Fast5xpress,Newport Beach,CA,19,www.fast5xpress.com
Hoffman Car Wash,Albany,NY,19,www.hoffmancarwash.com
Kaady Car Wash,Portland,OR,18,www.kaady.com
El Car Wash,Miami ,FL,17,www.elcarwash.com
Washman Car Washes,Portland,OR,17,www.washmanusa.com
Champion Xpress Car Wash,Lubbock,TX,16,www.champxpress.com
Fast Eddie's Car Wash & Oil Change,Swartz Creek,MI,16,www.fasteddiescarcare.com
Car Spa,Dallas,TX,15,www.carspa.net
Francis & Sons Car Wash,Phoenix,AZ,15,www.francisandsonscarwash.com
